type,title,location,bedroom,bathroom,size_sqm,price,type_encoded,location_complexity,location_encoded,room_density,bed_bath_ratio,size_category
Apartment,شقة للبيع ارضي بجاردن في النرجس عمارات تشطيب كامل ,"Free Zone St., Al Wafa Wa Al Amal, Nasr City, Cairo",3.0,2,180.0,1650000.0,3,4,354,0.016666666666666666,1.0,2
Apartment,Ground floor Apt.  fully finished + AC with garden,"The Water Way, North Investors Area, New Cairo City, Cairo",2.0,3,175.0,3500000.0,3,4,758,0.011428571428571429,0.5,2
Apartment,  Town house  middle  Fully finished  for sale   .,"El Narges Buildings, Al Narges, New Cairo City, Cairo",2.0,1,113.0,1250000.0,3,4,315,0.017699115044247787,1.0,2
Apartment,Townhouse 210 m  in Creek Town New Cairo,"Fifth Square, North Investors Area, New Cairo City, Cairo",3.0,3,160.0,1400000.0,3,4,347,0.01875,0.75,2
Villa,3bedrooms|Dressing|3Terrace|Ready to move|Disc 12%,"Sodic East, 6th District, New Heliopolis, Cairo",5.0,4,376.0,7674462.0,8,4,651,0.013297872340425532,1.0,4
Townhouse,I own an apartment in the Fifth Settlement        ,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,4,248.0,7100000.0,6,5,396,0.012096774193548387,0.6,3
Townhouse,For Sale Townhouse in Mivida very prime loction ,"Creek Town, The 1st Settlement, New Cairo City, Cairo",3.0,3,210.0,7100000.0,6,4,263,0.014285714285714285,0.75,3
Villa,2 Bedrooms|2Bathrooms|5% Down|9 years install,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3.0,3,343.0,6122390.0,8,4,632,0.008746355685131196,0.75,4
Apartment,3BR Apartment For Sale in New Maadi ,"Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,121.0,2044900.0,3,5,252,0.01652892561983471,0.6666666666666666,2
Apartment,Ready to move Apartment - Downpayment 410k,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,180.0,4108000.0,3,5,583,0.016666666666666666,0.75,2
Twin House,Twinhouse / under market price / Prime location ,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,5,264.0,3050000.0,5,5,222,0.01893939393939394,0.8333333333333334,3
Apartment,Amazing apartment ON amazing view-stone residence,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,140.0,1700000.0,3,5,663,0.014285714285714285,0.6666666666666666,2
Penthouse,Penthouse for sale in Katamya Plaza - sodic,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",4.0,5,280.0,6300000.0,7,4,112,0.014285714285714285,0.6666666666666666,3
Penthouse,Penthouse In Katameya Plaza Sodic Fully Finished,"Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",4.0,5,330.0,5600000.0,7,4,112,0.012121212121212121,0.6666666666666666,4
Apartment,Apartment 88 m fully finished without over loading,"Capital Heights, New Capital Compounds, New Capital City, Cairo",2.0,2,88.0,1507852.0,3,4,245,0.022727272727272728,0.6666666666666666,1
Townhouse,Townhouse Eastshire Prime Location beside AUC,"Eastshire compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,261.0,6187000.0,6,5,292,0.011494252873563218,0.75,3
